pass,alerts,mean_seconds,median_seconds,p95_seconds,maximum_seconds,mean_enrichment_seconds,mean_validation_seconds
1,1000,0.0033270264,0.00293195,0.0056742699999999995,0.0103923,0.0001980942,0.0031289321999999997
2,1000,0.0040478762,0.0035047999999999998,0.00749079,0.0170304,0.0002466821,0.0038011941
3,1000,0.0030789015,0.00267605,0.005158004999999999,0.0090424,0.0001890006,0.0028899009
4,1000,0.0036907720999999998,0.0032503000000000002,0.0061887099999999974,0.0105193,0.0002202437,0.0034705283999999998
5,1000,0.004045274,0.00377985,0.0064721399999999995,0.012319,0.0002405892,0.0038046847999999994
